# DataManip CSV Export
# Study: Projectile Analysis
# Version: 0.2.0
#
# Column Metadata:
#   t: type=range, unit=s, range_type=linspace
#   x_noair: type=calculated, unit=m, formula={v0x} * {t}
#   y_noair: type=calculated, unit=m, formula={v0y} * {t} - 0.5 * {g} * {t}**2
#   vx_noair: type=calculated, unit=m/s, formula={v0x}
#   vy_noair: type=calculated, unit=m/s, formula={v0y} - {g} * {t}
#   speed_noair: type=calculated, unit=m/s, formula=magnitude({vx_noair}; {vy_noair})
#   KE: type=calculated, unit=J, formula=kinetic_energy({m}; {speed_noair})
#   PE: type=calculated, unit=J, formula={m} * {g} * {y_noair}
#   E_total: type=calculated, unit=J, formula={KE} + {PE}
#   angle: type=calculated, unit=deg, formula=angle_deg({vx_noair}; {vy_noair})
#   vx_derivative: type=derivative, unit=m/s, derivative_of=x_noair, with_respect_to=t
#   vy_derivative: type=derivative, unit=m/s, derivative_of=y_noair, with_respect_to=t
#   ax: type=derivative, unit=m/s², derivative_of=vx_noair, with_respect_to=t
#   ay: type=derivative, unit=m/s², derivative_of=vy_noair, with_respect_to=t
#   t_u: type=uncertainty
#   range_estimate: type=calculated, unit=m, formula={v0x} * {t}
#   range_estimate_u: type=uncertainty, unit=m
#
t,x_noair,y_noair,vx_noair,vy_noair,speed_noair,KE,PE,E_total,angle,vx_derivative,vy_derivative,ax,ay,t_u,range_estimate,range_estimate_u
0.0,0.0,0.0,28.284271247461902,28.284271247461902,40.0,115.99999999999999,0.0,115.99999999999999,45.0,28.284271247461902,27.793771247461905,0.0,-9.810000000000016,0.01,0.0,
0.1,2.8284271247461903,2.7793771247461905,28.284271247461902,27.3032712474619,39.312448674847005,112.04647500890479,3.9535249910952186,116.00000000000001,43.988958261134414,28.2842712474619,27.303271247461897,0.0,-9.810000000000002,0.01,2.8284271247461903,
0.2,5.656854249492381,5.46065424949238,28.284271247461902,26.322271247461902,38.637571916787934,108.23249236280957,7.767507637190437,116.0,42.9422615306514,28.284271247461895,26.3222712474619,-2.842170943040401e-14,-9.810000000000016,0.01,5.656854249492381,
0.30000000000000004,8.485281374238571,8.043831374238572,28.284271247461902,25.3412712474619,37.97604545548996,104.55805206171436,11.441947938285656,116.00000000000001,41.85872650365568,28.2842712474619,25.3412712474619,0.0,-9.810000000000016,0.01,8.485281374238571,
0.4,11.313708498984761,10.52890849898476,28.284271247461902,24.360271247461903,37.32857906818741,101.02315410561914,14.976845894380872,116.00000000000001,40.7371906273081,28.28427124746191,24.360271247461903,0.0,-9.810000000000002,0.01,11.313708498984761,
0.5,14.142135623730951,12.91588562373095,28.284271247461902,23.3792712474619,36.69591699443412,97.62779849452392,18.37220150547609,116.0,39.5765249724727,28.284271247461902,23.3792712474619,0.0,-9.810000000000016,0.01,14.142135623730951,
0.6000000000000001,16.970562748477143,15.204762748477142,28.284271247461902,22.3982712474619,36.078838047737605,94.3719852284287,21.628014771571312,116.00000000000001,38.375649032633426,28.284271247461902,22.398271247461906,0.0,-9.809999999999988,0.01,16.970562748477143,
0.7000000000000001,19.798989873223334,17.395539873223335,28.284271247461902,21.4172712474619,35.478155359141184,91.25571430733348,24.744285692666534,116.00000000000001,37.133547556582315,28.284271247461902,21.417271247461912,0.0,-9.809999999999974,0.01,19.798989873223334,
0.8,22.627416997969522,19.488216997969523,28.284271247461902,20.436271247461903,34.894715681601966,88.27898573123825,27.72101426876175,116.0,35.84928948375269,28.284271247461916,20.43627124746189,0.0,-9.810000000000002,0.01,22.627416997969522,
0.9,25.455844122715714,21.482794122715713,28.284271247461902,19.4552712474619,34.32939817870855,85.44179950014305,30.558200499856966,116.00000000000001,34.522048998584644,28.284271247461916,19.455271247461894,0.0,-9.81000000000003,0.01,25.455844122715714,
1.0,28.284271247461902,23.3792712474619,28.284271247461902,18.4742712474619,33.78311261747202,82.7441556140478,33.25584438595218,115.99999999999997,33.15112865081474,28.284271247461888,18.4742712474619,0.0,-9.810000000000002,0.01,28.284271247461902,
1.1,31.112698372208094,25.177648372208093,28.284271247461902,17.493271247461898,33.25679688330308,80.18605407295262,35.8139459270474,116.00000000000001,31.735984400381895,28.284271247461874,17.49327124746189,0.0,-9.809999999999988,0.01,31.112698372208094,
1.2000000000000002,33.941125496954285,26.877925496954283,28.284271247461902,16.5122712474619,32.7514137366581,77.76749487685738,38.23250512314262,116.0,30.27625233785529,28.28427124746193,16.51227124746194,2.842170943040401e-14,-9.809999999999974,0.01,33.941125496954285,
1.3,36.76955262170048,28.480102621700475,28.284271247461902,15.5312712474619,32.267946736075984,75.48847802576216,40.51152197423784,116.0,28.771776704303257,28.284271247461902,15.531271247461888,-2.842170943040401e-14,-9.810000000000016,0.01,36.76955262170048,
1.4000000000000001,39.59797974644667,29.984179746446664,28.284271247461902,14.5502712474619,31.807395262339806,73.34900351966697,42.650996480333056,116.00000000000003,27.222638690482434,28.28427124746193,14.550271247461893,2.842170943040401e-14,-9.809999999999988,0.01,39.59797974644667,
1.5,42.42640687119285,31.39015687119285,28.284271247461902,13.569271247461902,31.370768594141847,71.34907135857173,44.65092864142827,116.0,25.62918533856308,28.284271247461845,13.56927124746187,-2.842170943040401e-14,-9.81000000000001,0.01,42.42640687119285,
1.6,45.254833995939045,32.69803399593904,28.284271247461902,12.5882712474619,30.95907900761384,69.4886815424765,46.51131845752349,115.99999999999999,23.992057707480328,28.284271247461902,12.588271247461876,0.0,-9.81000000000001,0.01,45.254833995939045,
